name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Notre Dame College,39,26344,Private not-for-profit,2269,15,100,99,18253,49,4736,48,4256,3,8213,35,2405,99,15105,83,7000,83,6359,6,8815,17947,19822,16435,18627,20794,16361
Northeast Ohio Medical University,,,Public,832,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Oberlin College,89,46870,Private not-for-profit,2911,9,88,83,22317,10,6167,10,4215,9,2007,1,1665,83,21596,38,5923,36,6065,3,4182,37366,34797,9785,17445,25985,10518
Ohio Dominican University,41,28932,Private not-for-profit,2573,14,100,100,20063,52,4185,49,4064,19,882,41,1845,100,17147,81,7245,81,6143,9,9879,20446,17513,20535,20575,21285,18684
Ohio Northern University,72,36720,Private not-for-profit,3619,12,99,97,25616,29,4213,29,3841,11,1063,17,2275,97,24093,93,9709,93,7635,15,13231,24002,24671,18629,20535,24177,18176
Ohio State University-Main Campus,83,10037,Public,57466,19,83,72,8648,19,4250,19,4100,6,495,13,1337,72,7346,46,7129,45,5561,6,12723,17406,10026,12218,16953,20832,22369
Ohio University-Main Campus,67,10446,Public,28786,18,79,58,5826,26,4233,25,3917,6,1612,16,964,52,4078,60,7930,60,5814,9,13789,17846,13628,15532,19427,21674,22408
Ohio Wesleyan University,63,40510,Private not-for-profit,1830,11,99,99,26952,24,4964,24,4122,24,868,12,1951,99,25494,73,6747,63,6078,10,10934,25876,25917,21931,21073,28155,20002
Otterbein University,59,31424,Private not-for-profit,2919,11,100,100,16487,32,4493,32,4185,17,731,21,2156,99,14740,82,8449,82,5895,16,12861,25174,22624,21048,23262,26288,18199
Payne Theological Seminary,,,Private not-for-profit,135,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pontifical College Josephinum,77,20614,Private not-for-profit,213,5,53,32,1844,16,1550,11,2075,5,500,5,1140,11,2638,21,2723,21,2723,0,,33904,26753,33353,34998,,26435
Rabbinical College Telshe,33,9600,Private not-for-profit,96,10,79,79,8291,36,7950,36,5550,29,3000,0,,64,5717,0,,0,,0,,10451,6643,6110,5260,6110,6394
Shawnee State University,27,7177,Public,4341,19,96,83,4733,62,3955,62,3876,9,540,47,780,36,3036,76,5876,76,5620,3,7396,13109,13391,13964,16461,17676,17742
Franciscan University of Steubenville,73,23160,Private not-for-profit,2733,15,97,94,8219,25,3864,25,3790,1,2000,9,1412,94,7101,87,7801,87,5757,13,13651,24474,23111,22567,22132,25148,19383
Ohio Mid-Western College,0,10944,Private not-for-profit,140,9,100,100,7266,86,5101,86,5101,0,,73,2412,77,1451,92,7870,92,7870,0,,16318,11535,18320,21835,,11535
Tiffin University,46,20700,Private not-for-profit,4954,18,98,97,9694,63,4281,63,4117,14,808,25,2017,61,10084,87,7817,87,6460,10,11876,25077,20804,22064,24264,24494,22180
University of Toledo,45,9275,Public,20743,21,96,96,7444,46,4663,46,4500,14,562,34,1068,86,5368,67,6557,66,5943,4,9650,14588,12687,13404,15226,17139,16942
Tri-State Bible College,,7700,Private not-for-profit,59,6,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Trinity Lutheran Seminary,,,Private not-for-profit,116,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Union Institute & University,31,11904,Private not-for-profit,1660,8,90,90,5012,70,3700,70,3700,0,,40,3122,30,2239,90,9791,90,9791,0,,19081,19204,17910,20394,,19219
United Theological Seminary,,,Private not-for-profit,640,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Urbana University,30,21566,Private not-for-profit,1748,18,81,81,18447,62,4314,61,4171,10,1128,44,2030,77,14897,78,8871,78,8152,7,8416,13239,16654,17624,21520,24648,14362
Ursuline College,50,26720,Private not-for-profit,1357,7,100,100,21221,60,4526,58,4164,51,519,38,2351,100,17627,100,6664,100,5987,7,10039,14815,15768,12965,15439,16736,12163
Walsh University,55,25840,Private not-for-profit,2963,13,100,100,15280,35,4487,34,3955,26,887,23,2249,100,13199,93,7872,93,6542,14,8848,19750,18379,15251,18353,20147,14866
Wilberforce University,13,15140,Private not-for-profit,479,8,100,100,10196,100,7438,100,4508,100,2929,21,1568,100,2431,100,9478,100,9435,1,4950,14204,14171,14571,8874,13406,13259
Wilmington College,38,28190,Private not-for-profit,1173,15,100,100,17644,51,4497,51,3989,38,682,33,2052,98,14934,90,8526,90,6964,13,10808,21809,20069,18323,20600,24761,17013
Winebrenner Theological Seminary,,,Private not-for-profit,60,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Wittenberg University,63,38030,Private not-for-profit,1979,12,99,98,23192,30,4323,29,3835,5,3268,34,2909,98,20878,72,7895,72,5982,13,10586,27608,25981,23597,24023,27596,24808
The College of Wooster,75,41680,Private not-for-profit,2116,12,99,99,25322,25,4782,25,3738,25,1044,10,1596,99,23954,55,6575,55,5207,5,15897,25978,23470,13250,16301,23149,8805
Wright State University-Main Campus,41,8542,Public,16656,21,88,73,5811,42,4567,42,4334,13,764,34,1127,58,3354,66,7233,66,6393,6,9579,15080,13089,14216,17408,19114,19419
Xavier University,76,33000,Private not-for-profit,6633,12,100,100,16898,16,4503,16,4177,11,684,7,2061,100,16033,63,8619,63,5999,10,15929,28182,25729,24952,27246,28924,25869
Youngstown State University,33,8129,Public,13352,17,96,71,6576,56,4641,56,4554,10,516,44,971,40,4113,73,6502,72,6241,3,8529,11943,10641,11863,14836,16066,15723
Bacone College,5,14050,Private not-for-profit,965,17,88,83,12155,83,4733,83,4154,83,579,83,1911,83,5511,83,8777,83,5432,83,3345,14245,15601,13634,17141,17309,14775
Oklahoma Wesleyan University,57,22252,Private not-for-profit,1355,15,100,100,10999,47,4029,45,3708,12,1663,22,3025,100,8462,72,7254,72,6472,6,9766,21220,17520,20079,19186,24740,13732
Southern Nazarene University,47,22044,Private not-for-profit,2249,14,100,98,13914,44,4510,44,3953,36,681,19,3921,96,11376,67,6593,65,6508,3,8736,17380,18284,15830,16058,19168,13954
Cameron University,20,5055,Public,5898,20,88,82,5901,58,4829,57,4509,11,2291,32,2478,44,2941,42,5725,41,5633,1,6665,9016,7965,8552,10647,13027,14005
University of Central Oklahoma,36,5437,Public,17220,21,76,67,5756,42,4311,41,4284,2,1792,34,3499,36,2335,45,5615,45,5328,2,8163,10851,8572,9879,13789,15078,15738
East Central University,34,5241,Public,4587,19,85,77,6408,50,4571,50,4541,2,708,40,3179,43,3158,42,4692,42,4563,1,9267,7364,7329,6742,,,0
Hillsdale Free Will Baptist College,51,11600,Private not-for-profit,202,6,98,96,6366,52,4567,52,4463,13,400,29,4787,85,2801,67,7095,67,6924,2,6000,16377,14654,15048,18866,20472,11491
Langston University,21,3815,Public,2533,18,94,92,7194,83,4493,83,4375,10,1001,28,4516,45,3615,82,7285,82,7250,1,4000,6193,6038,6696,7461,9461,3945
Northeastern State University,30,4992,Public,8548,18,94,93,6455,58,4527,58,4484,3,1106,41,3014,53,3987,48,4952,48,4910,1,4567,6418,4811,6278,8931,10713,9723
Northwestern Oklahoma State University,31,5642,Public,2307,17,96,94,5787,45,4343,45,4222,15,350,28,3418,87,2934,40,3997,40,3997,0,,6989,3763,4075,7912,9196,8719
Oklahoma State University Center for Health Sciences,,,Public,475,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Oklahoma Christian University,49,18800,Private not-for-profit,2421,16,99,98,10300,28,4432,28,3845,28,596,11,4715,97,8588,58,7763,58,7062,4,10422,19124,17483,16021,17794,20554,15341
University of Oklahoma-Health Sciences Center,,,Public,3515,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Oklahoma Panhandle State University,23,6739,Public,1375,16,92,88,4009,53,4192,53,4147,6,408,12,2503,75,1316,57,4540,56,4437,1,5818,11456,9789,9760,12354,13901,13635
Oklahoma State University-Main Campus,60,7442,Public,26073,20,87,77,8338,28,4145,27,4031,2,2045,23,3966,72,6075,41,5895,41,5386,2,11784,14415,9677,10891,15256,18507,19735
Oklahoma Baptist University,55,21842,Private not-for-profit,2097,15,99,99,15126,39,4731,39,4024,15,1900,28,4178,99,12078,59,8265,59,5633,19,8257,16617,12843,14589,15068,16045,9419
Oklahoma City University,61,29426,Private not-for-profit,3179,11,96,92,16538,33,3276,23,4073,10,1374,13,4143,91,15112,54,6845,53,6280,3,11432,25056,24233,21063,28621,26792,16515
University of Oklahoma-Norman Campus,66,8916,Public,27292,18,74,65,7535,23,4325,23,4162,3,1424,25,4083,57,4947,37,7206,36,5746,6,9674,16780,13252,14881,17644,20645,21685
Oral Roberts University,53,22508,Private not-for-profit,3414,15,98,96,13597,37,4603,37,4340,11,895,10,3320,95,11586,63,8671,63,8332,3,7598,21523,20839,18756,21781,22312,16425
Rogers State University,21,5349,Public,4473,23,88,78,5672,56,4052,56,3997,7,441,62,2715,10,4638,43,4475,43,4456,0,2861,12002,10885,11000,13962,16452,16806
Saint Gregory's University,24,20595,Private not-for-profit,684,9,95,90,17235,55,4108,55,3858,16,857,22,3960,87,14104,71,8469,71,8042,3,8833,15165,15505,11984,17647,18885,6081
University of Science and Arts of Oklahoma,38,4866,Public,918,13,95,93,8216,40,4269,40,4061,18,470,88,1689,81,5458,46,5336,46,5336,0,,7910,5027,6791,7416,11549,14140
Southeastern Oklahoma State University,31,5315,Public,3826,17,96,91,7482,58,4017,58,3874,6,1572,34,3440,61,5415,50,3609,50,3589,1,5500,7811,6498,7301,9514,12289,12153
Southwestern Christian University,30,14220,Private not-for-profit,847,17,93,86,4977,77,2228,67,2526,10,200,27,1500,80,2680,74,5556,71,5676,3,2350,17597,16851,19394,20651,22197,17406
Southwestern Oklahoma State University,33,5460,Public,4942,18,95,88,6905,48,4600,44,4388,12,1983,35,4067,67,3702,74,4362,74,4299,1,4743,10242,7742,7849,11193,13474,13519
University of Tulsa,69,34835,Private not-for-profit,4597,11,88,88,21223,14,4821,13,4240,12,1019,18,4680,87,19671,32,7622,32,6590,3,13522,26239,23031,21642,24161,25989,16359
The Art Institute of Portland,31,17416,Private for-profit,1348,14,89,77,5316,61,4216,61,3790,19,1476,4,1552,68,2074,78,8279,77,7843,3,12807,26364,28364,27342,28843,31389,26969
Concordia University-Portland,55,27492,Private not-for-profit,5428,23,99,99,15264,37,4616,37,4324,7,1492,20,1863,99,13196,72,6830,72,5787,7,11203,20857,20520,16255,20170,22220,18678
Eastern Oregon University,23,7530,Public,4157,25,94,87,5595,52,4507,52,4476,3,600,22,2230,63,3268,63,6399,63,6107,3,7026,13135,11709,11722,14975,16167,16226
New Hope Christian College-Eugene,36,14750,Private not-for-profit,179,12,93,93,7946,61,4158,61,4114,5,600,23,2801,82,5153,64,5275,64,5275,0,,13439,13159,13573,13035,15996,12071
George Fox University,62,31120,Private not-for-profit,3712,14,99,97,17410,35,4503,35,4104,13,1207,20,2201,97,15323,74,7407,74,5844,8,14855,24404,23272,20465,22658,26061,18468
Lewis & Clark College,75,41928,Private not-for-profit,3521,11,90,85,21450,21,5472,21,4381,20,1150,6,1819,84,20233,74,7394,74,6461,4,18335,32003,27229,24909,25437,32969,18353
Linfield College-McMinnville Campus,68,36310,Private not-for-profit,1671,12,99,99,19513,28,4907,27,4187,27,809,14,1887,99,17879,67,7329,67,6059,7,13101,26196,22482,20464,23087,25468,17379
Marylhurst University,21,19665,Private not-for-profit,1408,6,100,100,6084,75,1806,75,1806,0,,0,,75,6306,75,6333,75,6333,0,,28071,17225,32255,,,11556
Mount Angel Seminary,58,19018,Private not-for-profit,170,5,15,15,5550,15,5550,15,5550,0,,0,,0,,0,,0,,0,,26367,25482,0,,,27217
Multnomah University,47,21850,Private not-for-profit,777,15,93,93,8735,50,4427,50,4120,43,354,0,,93,6364,67,7750,67,6775,7,9750,25198,20063,20511,24671,29878,18776
National College of Natural Medicine,,,Private not-for-profit,558,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Northwest Christian University,46,24930,Private not-for-profit,660,12,100,100,15661,51,4258,49,3959,35,766,22,1950,100,13039,88,5804,88,5507,3,8917,19003,18160,19088,20203,20176,14081
Oregon Health & Science University,,,Public,2838,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Oregon Institute of Technology,44,8548,Public,4407,21,89,70,5320,40,4360,40,4178,14,509,29,1760,61,2418,62,6198,61,5533,5,8836,13000,10722,10781,14233,17560,17896
Oregon College of Art and Craft,33,27145,Private not-for-profit,156,8,100,100,10251,47,3262,47,3140,32,183,5,1462,100,8629,68,5135,68,5135,0,,25612,19207,15483,26283,25850,14454
Oregon State University,61,8322,Public,27902,23,86,70,6886,31,4316,31,4178,9,572,23,2348,64,4612,55,6221,55,5589,3,13477,16219,13854,14471,17038,21070,21353
University of Oregon,67,9763,Public,24473,21,68,53,7401,23,4500,23,4188,10,689,13,1891,48,5423,42,7121,41,5834,3,19566,15362,11496,13008,16678,20420,20899
Pacific Northwest College of Art,36,32417,Private not-for-profit,517,7,100,100,13953,32,4882,32,4618,14,600,5,1950,100,12267,91,7110,91,6624,4,11333,29282,24750,22619,28579,30472,21587
Pacific University,62,37024,Private not-for-profit,3583,10,99,98,20132,29,4539,29,4071,26,558,13,1860,97,18663,93,8078,93,6390,10,15122,27790,25033,24739,25172,28309,18154
Portland State University,42,7878,Public,28260,21,76,61,7115,40,4552,39,4292,7,2023,26,1892,42,4847,48,6076,47,5167,4,11777,12717,11306,12329,16242,18671,18904
University of Portland,75,38670,Private not-for-profit,4036,13,97,97,20758,24,4383,23,3906,5,2208,9,1996,97,19512,53,6321,52,5274,4,14417,30273,27054,23253,24702,30758,19862
Reed College,82,46010,Private not-for-profit,1411,9,53,46,38280,18,4934,18,4177,18,757,3,1708,46,36557,38,4621,37,3909,3,9677,19424,19767,19308,21844,27241,8918
Southern Oregon University,37,7438,Public,5992,18,85,66,5271,40,4424,40,4125,14,886,22,1807,52,2504,62,5721,61,5403,2,11391,12989,10779,13292,13731,16303,17173
Warner Pacific College,32,19770,Private not-for-profit,506,11,93,93,9032,57,4546,57,4022,41,733,30,1759,91,5821,88,7072,88,5944,7,14294,21798,21534,19886,23120,24242,18586
Corban University,55,27431,Private not-for-profit,1143,13,100,100,14767,45,4436,39,3885,16,2926,17,1869,100,12474,72,8387,72,5796,14,13388,23853,21964,20124,22529,20769,19795
Western Seminary,,,Private not-for-profit,767,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Willamette University,79,42305,Private not-for-profit,2855,11,98,98,20984,19,5988,19,4021,15,2605,7,1950,98,19856,86,7149,86,6166,5,17696,31622,24567,23982,26143,31710,12310
Western Oregon University,44,8634,Public,6177,18,88,67,5611,48,4433,47,4206,18,686,32,1875,54,1913,71,6504,70,5874,5,10057,15828,15105,14669,17748,20933,21076
University of Western States,100,,Private not-for-profit,682,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bryn Athyn College of the New Church,59,17724,Private not-for-profit,278,6,100,100,11798,39,5023,39,4757,20,507,39,3391,100,8526,83,5276,83,5276,0,,13887,11222,6045,15317,18019,6438
Albright College,54,36660,Private not-for-profit,2384,15,99,99,24473,50,5677,50,4206,45,1656,49,3390,99,19960,98,9180,98,6944,18,12450,21656,25453,21133,22538,24349,16057
Allegheny College,79,39100,Private not-for-profit,2161,11,100,100,23323,26,4584,26,3892,13,1442,28,3511,100,21128,71,9164,71,6792,12,13933,26729,25140,19393,22012,25355,15506
DeSales University,70,31250,Private not-for-profit,3266,15,99,99,17431,23,4681,23,4167,8,1476,36,3264,99,15162,78,9600,76,5675,22,14280,27943,26494,21470,25103,28708,20565
Alvernia University,51,29060,Private not-for-profit,2871,12,100,100,13706,36,4297,36,4083,12,648,51,3025,100,10613,91,9899,91,5736,25,14973,26264,25574,21829,23857,27387,20926
American College of Financial Services,,,Private not-for-profit,27749,323,,,,,,,,,,,,,,,,,,,,0,,0,,,0
The Art Institutes of York-PA,63,17344,Private for-profit,462,10,100,98,6673,63,4711,63,4365,26,838,46,3672,87,2163,93,9467,93,6779,17,14446,24581,26748,22396,27531,31192,27068
The Art Institute of Philadelphia,30,17920,Private for-profit,2494,16,93,87,4884,65,4295,65,4066,13,1161,22,3173,62,1200,87,9607,87,8099,8,15713,26783,33571,26416,28220,30763,31516
The Art Institute of Pittsburgh,39,17632,Private for-profit,1544,16,98,92,6282,68,4993,68,3989,63,1094,34,3702,78,1437,90,10243,90,8705,8,17345,26903,30120,26068,27701,30717,28547
Baptist Bible College & Seminary of Pennsylvania,50,19710,Private not-for-profit,918,11,100,99,9629,77,3161,55,4113,22,729,30,3300,90,6730,90,5886,72,5235,18,8487,18292,17244,14473,17891,22490,13349
Arcadia University,61,36810,Private not-for-profit,3905,12,100,100,22666,36,4564,36,4280,13,868,33,3375,100,19883,85,9819,85,5936,22,15238,26151,24191,21223,23573,26540,19375
Biblical Theological Seminary,,,Private not-for-profit,294,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bloomsburg University of Pennsylvania,62,8582,Public,10127,21,84,44,5317,32,3782,32,3673,3,1097,33,2731,6,3601,76,7217,75,5412,13,10864,16343,14382,15330,19012,20965,21549
Bryn Mawr College,84,43900,Private not-for-profit,1738,8,79,76,27544,16,5247,16,4366,15,1009,4,3227,75,26349,53,5817,41,5782,13,5681,30042,25791,12215,15091,27431,14397
Bucknell University,91,46902,Private not-for-profit,3608,10,55,50,27618,11,4940,11,4206,2,4000,6,3203,50,26318,41,6606,41,5290,3,16124,31472,28431,19852,23457,31197,18079
Cabrini College,46,29000,Private not-for-profit,2448,12,99,99,18377,44,4293,44,3920,27,618,36,3319,99,15382,95,11706,95,8702,22,13350,25146,25988,19614,21486,25732,20781
California University of Pennsylvania,50,9239,Public,8243,22,89,61,6514,39,4438,38,4238,8,1073,37,2854,25,4876,81,7662,80,6045,12,10947,16829,14454,16150,18938,21592,22554
Calvary Baptist Theological Seminary,,,Private not-for-profit,62,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Carlow University,62,25416,Private not-for-profit,3012,11,100,100,16924,57,4836,57,4208,40,879,74,3261,100,11777,99,7067,99,5591,14,10783,18703,14794,16075,18402,21540,11711
Carnegie Mellon University,88,47642,Private not-for-profit,12367,10,70,54,24246,13,7219,13,4539,12,2982,4,2608,54,22517,36,8740,35,6289,5,20108,35464,32054,24802,28057,31540,23173
Cedar Crest College,60,33000,Private not-for-profit,1486,9,100,100,21831,51,4570,51,4212,20,914,54,3581,100,17547,89,10585,89,9045,12,11036,19225,18833,15988,18618,22250,13467
Central Penn College,45,16167,Private for-profit,1297,12,100,89,7196,83,3377,83,3304,8,750,60,3025,60,3038,97,7573,97,6962,4,14860,17320,18615,18951,19100,20830,17706
Chatham University,50,32454,Private not-for-profit,2170,10,100,100,22699,48,4980,48,4395,21,1365,48,5829,97,17987,94,7302,94,5596,15,11043,21602,21841,17508,21455,23221,18237
Chestnut Hill College,42,31170,Private not-for-profit,2189,10,98,98,18950,41,4807,41,4159,26,1014,32,3544,98,15790,79,9751,78,6351,20,14233,23720,22563,19941,21876,25725,18087
Cheyney University of Pennsylvania,25,8806,Public,1212,16,96,90,7877,82,5080,82,4586,27,1520,52,4153,30,2684,86,8052,85,7709,4,7732,13516,13125,14502,16793,20269,21605
Clarion University of Pennsylvania,53,9404,Public,6080,20,91,60,5548,43,3904,43,3874,2,600,47,2879,8,3606,80,7171,79,5924,11,9238,14588,12933,13774,16982,19512,20359
Curtis Institute of Music,100,2425,Private not-for-profit,168,2,73,57,14219,10,4717,10,4717,0,,0,,57,13387,60,3731,53,3103,17,3500,2584,4449,8061,-9447,,9180
Delaware Valley College,57,32890,Private not-for-profit,2023,13,100,99,18087,33,4501,33,4252,15,532,26,3539,99,15782,82,10041,82,6340,20,15084,26589,24547,22194,24143,27415,19909
Dickinson College,86,46094,Private not-for-profit,2396,10,72,68,25686,11,5154,11,4022,11,1133,6,2845,68,24703,46,6138,41,5050,9,9120,32461,27871,12354,16744,28397,12044
The Dickinson School of Law of the Pennsylvania State University,,,Public,142,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Drexel University,70,37505,Private not-for-profit,26132,10,94,93,19063,18,5352,18,4212,12,1746,15,3415,92,17575,54,11290,53,5385,14,23429,36049,34660,26854,32421,35650,26349
Duquesne University,77,31385,Private not-for-profit,9904,14,100,100,16348,21,4317,20,3980,19,576,31,3222,100,14437,74,9363,74,5880,19,13935,25944,24148,20946,23967,27625,16267
East Stroudsburg University of Pennsylvania,56,8991,Public,6778,22,83,44,5632,30,4134,30,4015,5,641,28,2411,11,5174,73,8387,72,5643,17,12302,14437,12036,12921,17229,19415,19810
Eastern University,55,28090,Private not-for-profit,4004,13,100,100,16422,38,4302,38,4019,23,465,33,3526,100,13626,80,8719,79,6246,15,13085,23361,22601,19675,21014,24026,18418
Edinboro University of Pennsylvania,42,8849,Public,7098,19,91,65,5941,47,4081,47,3950,19,415,43,3142,18,3299,83,7254,82,5957,12,9774,13833,12161,13215,16060,18691,19182
Elizabethtown College,77,38200,Private not-for-profit,1892,12,99,98,20884,23,4202,23,3761,21,483,33,3348,98,18779,77,8331,77,5934,14,12952,26528,25571,21213,22601,27115,16096
Evangelical Theological Seminary,,,Private not-for-profit,113,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Faith Theological Seminary,31,5800,Private not-for-profit,380,30,25,25,2733,0,,0,,0,,0,,25,2733,0,,0,,0,,15485,,0,,,0
Franklin and Marshall College,87,46285,Private not-for-profit,2297,9,61,53,36264,17,5192,17,4616,17,577,8,3232,53,34133,51,5575,44,4274,11,8835,22258,24875,9335,19167,26052,14437
Gannon University,65,27546,Private not-for-profit,4211,13,100,97,17168,37,4194,36,4105,2,4500,40,3618,95,14446,85,8368,85,6065,14,14270,20485,18875,16882,19658,22150,15942
Geneva College,67,25220,Private not-for-profit,1852,13,100,99,15250,37,3868,34,3740,27,630,50,2774,95,13023,97,7619,97,6197,13,10598,19458,17701,15536,18021,20692,11754
Gettysburg College,84,45870,Private not-for-profit,2524,10,74,69,26546,14,4905,14,3996,13,980,13,2926,68,25267,52,5002,50,4810,11,1642,29224,27591,15361,18755,24764,10203
Gratz College,,,Private not-for-profit,673,5,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Grove City College,82,14880,Private not-for-profit,2491,15,69,49,5416,0,,0,,0,,14,3144,49,4572,39,10862,0,,39,10862,18272,17150,0,,,0
Gwynedd Mercy University,66,29450,Private not-for-profit,2371,14,100,100,15207,35,4171,35,3907,8,1211,39,3375,100,12433,88,9879,87,5835,23,15544,23801,20521,20154,22425,24305,15392
Haverford College,93,45426,Private not-for-profit,1187,8,57,50,39911,16,4853,16,4583,2,2813,4,3770,50,38051,19,5311,19,4343,1,14998,19743,21449,5599,15612,18476,1042
Holy Family University,55,27100,Private not-for-profit,2956,12,100,99,16456,39,4985,39,4432,9,2478,45,3603,99,12902,84,8195,84,6304,14,11130,15730,14369,12040,15778,17462,16010
Immaculata University,48,30740,Private not-for-profit,3675,9,100,100,15920,27,4932,27,4217,26,761,35,3165,100,13463,93,8587,93,5485,17,17375,28927,27677,26410,28958,29746,23028
Indiana University of Pennsylvania-Main Campus,51,9080,Public,14925,19,88,53,6012,40,4445,40,3938,20,1032,40,2811,7,3533,79,8264,78,6083,17,10390,16704,14707,15826,19286,22223,22754
Juniata College,75,37170,Private not-for-profit,1635,13,100,100,21340,25,4341,25,3820,9,1442,29,3582,100,19204,72,8258,71,5511,48,4165,25850,23814,16637,20535,25051,14527
Keystone College,42,21300,Private not-for-profit,1595,11,98,98,14689,54,4415,54,4205,17,748,47,3701,97,10462,79,7195,78,6282,9,9441,16302,12449,14022,14727,14958,9701
King's College,66,30310,Private not-for-profit,2391,13,100,100,16712,32,4560,32,4152,28,493,38,3765,100,13814,89,8853,89,6159,17,14555,24710,22301,20364,24854,25812,15643
Kutztown University of Pennsylvania,55,8819,Public,9513,20,87,46,6124,35,4258,34,4160,5,909,38,2869,4,7091,80,8608,79,6086,18,11194,17009,14850,16066,19804,22440,22958
La Roche College,46,24778,Private not-for-profit,1481,13,91,84,15922,45,4094,45,3780,29,491,47,3565,77,12709,75,7313,75,5835,11,9872,19510,18575,14842,18455,21023,17266
La Salle University,64,38200,Private not-for-profit,6436,12,99,98,23262,44,5064,44,4516,21,1151,35,3844,92,20820,83,9766,82,6237,20,15092,24015,23418,20839,21028,24518,18032
Lafayette College,88,44670,Private not-for-profit,2486,10,63,52,31701,9,6264,9,4143,5,3727,4,3152,52,30503,48,7362,45,5220,8,14837,25987,25963,17292,19127,25182,10938
Lancaster Bible College,70,18270,Private not-for-profit,1763,17,96,95,8422,40,3797,39,3540,16,778,43,3444,92,5456,74,8109,73,5477,20,9973,18954,19201,17202,17012,20781,16456
Lancaster Theological Seminary,,,Private not-for-profit,128,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Lebanon Valley College,73,35700,Private not-for-profit,2022,12,100,99,18832,25,4774,25,4500,3,3772,44,3463,98,16212,78,9862,77,6185,20,14850,27296,24984,22489,24840,28459,17416
Lehigh University,86,43520,Private not-for-profit,7096,10,68,53,28274,17,4208,17,4204,0,800,10,3410,51,26929,48,8080,47,5501,9,14777,27153,24510,16044,20645,26890,18433
Lincoln University of Pennsylvania,40,9804,Public,1963,17,99,90,8916,65,5132,65,4499,36,1188,28,2836,42,9254,88,8197,87,7667,5,9600,14114,13141,14244,17334,19468,20698
Lock Haven University,47,8899,Public,5260,21,91,58,5984,41,4314,41,4086,19,498,49,2790,14,2244,82,7655,82,5866,16,9460,12958,10624,11939,15607,18343,18929
Lutheran Theological Seminary at Gettysburg,,,Private not-for-profit,122,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Lutheran Theological Seminary at Philadelphia,,,Private not-for-profit,230,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Lycoming College,64,33746,Private not-for-profit,1307,14,100,100,22053,34,4536,34,4096,15,990,40,3781,100,19007,75,9134,74,6366,17,12478,22223,21072,16287,20035,24348,14135
Mansfield University of Pennsylvania,50,9192,Public,2970,16,94,69,5552,48,4205,47,4100,11,588,38,3047,29,2327,84,8229,83,6303,17,9849,15520,13597,14410,17436,20471,20676
Marywood University,65,30690,Private not-for-profit,3175,13,100,100,18845,34,4551,34,4019,19,971,41,3704,100,15760,81,9091,80,5960,20,12586,22796,20689,19240,20639,23127,16902
Mercyhurst University,60,30300,Private not-for-profit,3011,13,100,100,21518,30,3990,30,3970,0,4000,29,3130,100,19444,69,8136,69,5889,12,13395,20752,24284,16389,19173,21750,25625
Messiah College,76,30470,Private not-for-profit,3084,13,100,100,15707,23,4117,22,3647,11,1303,33,3141,100,13732,69,8561,69,5699,17,11636,25639,24323,20753,22039,25753,19874
Millersville University of Pennsylvania,61,8866,Public,8279,22,86,51,6003,33,4241,33,4143,4,869,39,2853,15,3624,76,7537,75,5811,14,10031,15780,13434,14345,17490,20892,21473
