name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Philander Smith College,45,12564,Private not-for-profit,556,10,100,100,10044,75,4980,75,4863,14,612,20,3225,80,7142,79,6952,79,6952,0,,14962,12527,18096,18762,20966,11502
Williams Baptist College,40,13750,Private not-for-profit,574,13,100,100,10929,52,4270,52,3979,28,543,76,4399,100,5364,65,4689,65,4520,2,7250,11400,9893,11967,12218,13476,8512
Southern Arkansas University Main Campus,30,7466,Public,3404,16,97,95,9528,58,4554,58,4472,5,933,56,4311,76,5273,44,5099,44,4964,1,5816,7604,6792,7349,8803,11436,11894
University of Arkansas-Fort Smith,23,4528,Public,7170,18,96,93,7824,60,4101,60,4035,6,854,64,4258,54,3829,32,3534,32,3495,0,5367,6351,6429,6794,7342,9914,10222
Academy of Art University,32,19130,Private for-profit,16001,16,62,39,7319,30,4276,30,4183,10,289,6,5232,14,8899,46,7055,46,6213,2,16346,26905,27223,29403,30610,33121,28526
Academy of Chinese Culture and Health Sciences,,,Private not-for-profit,132,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
American Baptist Seminary of the West,,,Private not-for-profit,49,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
American Film Institute Conservatory,,,Private not-for-profit,348,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
American Conservatory Theater,,,Private not-for-profit,31,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Art Center College of Design,64,36480,Private not-for-profit,1985,9,61,57,13748,31,4720,31,4339,21,550,17,6072,51,10396,42,7275,42,4992,5,19744,43055,37579,42031,38611,47198,31433
Azusa Pacific University,65,32256,Private not-for-profit,10755,14,92,89,14127,26,4399,26,4168,3,1916,23,8076,87,10970,50,5993,49,5823,2,10674,29990,27255,24672,27033,30442,19738
Bethesda University of California,78,7620,Private not-for-profit,353,6,29,25,4231,25,4123,25,4052,2,1000,0,,5,500,15,5013,15,5013,0,,8070,11496,7208,11090,11741,8177
Biola University,68,32142,Private not-for-profit,6301,17,96,93,12971,28,4697,28,4273,10,1329,26,6811,93,9663,85,10502,85,8419,14,12321,31582,28118,26884,29095,33609,22389
Brooks Institute,37,20120,Private for-profit,518,9,79,47,6190,39,4256,39,4194,3,800,2,13834,18,5618,62,8567,62,6637,6,19784,26833,28502,29320,26654,30382,28276
Phillips Graduate Institute,,,Private not-for-profit,206,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California Institute of Integral Studies,,,Private not-for-profit,1271,15,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California Baptist University,58,28122,Private not-for-profit,7144,18,95,93,13900,46,4577,46,4298,15,939,39,6855,93,8771,76,8653,76,5979,12,16694,25144,19887,21686,22042,24141,20323
California College of the Arts,62,40334,Private not-for-profit,1949,9,79,79,18696,29,4883,28,4597,5,1977,15,8223,79,15395,50,7285,50,6319,2,20279,35127,32443,25084,30710,34026,24511
University of California-Hastings College of Law,,,Public,1088,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California Institute of Technology,93,41538,Private not-for-profit,2181,3,73,54,32074,14,5950,10,4499,9,3947,2,9223,54,30264,27,5537,25,4561,3,12366,24308,25382,8225,13343,24871,310
California Lutheran University,70,35720,Private not-for-profit,4282,15,98,98,18768,23,4665,23,4427,4,1200,20,9017,97,15884,59,7125,59,6029,4,16606,29718,26580,21910,25621,28481,19646
California Polytechnic State University-San Luis Obispo,70,8724,Public,19703,21,50,41,6583,14,4868,14,4281,12,720,25,3403,31,3827,29,5843,29,5168,2,13585,17365,9938,11814,16235,21114,22923
Alliant International University,,15816,Private not-for-profit,4201,13,75,75,9933,75,9133,75,5133,75,4000,0,,50,1200,75,8933,75,8933,0,,18968,,0,,,0
California State University-Bakersfield,39,6775,Public,8371,24,81,74,10070,64,4705,64,4662,6,672,47,2595,60,5329,35,4647,35,4498,1,8452,8117,6299,7357,11693,16253,17501
California State University-Stanislaus,52,6491,Public,8917,21,82,73,10006,60,4674,60,4594,9,586,62,2842,53,5129,35,4838,35,4731,0,9146,7190,4711,5920,9415,15050,16633
California State University-San Bernardino,41,6550,Public,18398,27,85,73,10675,67,4837,67,4790,4,778,55,2271,60,5565,44,4811,43,4703,1,9693,6571,4967,5893,10210,14901,16732
California State Polytechnic University-Pomona,52,6350,Public,22501,28,68,53,8918,43,4567,43,4609,3,524,37,3015,36,4525,43,5836,43,5120,3,11517,10693,7599,10209,13505,18164,19216
California State University-Chico,56,6972,Public,16356,24,63,46,9884,37,4796,36,4636,7,1052,34,2874,33,5505,45,5113,44,4651,2,10970,12836,9956,11944,16525,21520,22604
California State University-Dominguez Hills,29,6100,Public,14670,23,88,78,10263,74,4861,74,4813,6,732,35,2231,67,5399,37,4636,37,4590,0,9480,2791,1592,3104,8070,12615,12319
California State University-Fresno,49,6287,Public,23060,22,80,72,10046,62,4859,62,4839,5,298,58,2320,50,5731,30,4965,30,4653,1,9187,6228,4281,6658,10354,15032,15921
California State University-Fullerton,53,6186,Public,38325,24,66,51,9583,41,4579,41,4548,2,785,42,2976,33,5147,35,5450,35,4933,2,12937,6885,4449,6606,10150,15152,16517
California State University-East Bay,38,6550,Public,14526,25,75,62,9537,54,4686,54,4362,23,760,48,2533,42,5061,48,5630,48,5499,1,10342,11230,8800,11345,15315,19848,20403
California State University-Long Beach,60,6240,Public,35586,22,71,58,9931,49,4718,49,4690,3,528,46,2800,40,5474,36,5368,36,4974,1,13380,8169,6048,8133,11590,16560,17785
California State University-Los Angeles,36,6344,Public,23258,24,82,76,9979,72,4800,72,4713,5,1279,47,2215,57,5343,32,4057,32,3777,1,9366,4756,3207,5697,10189,13204,14671
California State University-Northridge,46,6525,Public,38310,24,74,64,10747,59,4918,58,4808,12,539,43,2330,53,5586,36,4855,36,4654,1,9858,10500,8779,10313,15435,19827,20637
California State University-Sacramento,43,6628,Public,28811,26,79,65,10364,56,4708,56,4680,2,898,54,2878,48,5298,39,5488,38,5235,1,8877,9006,6971,9204,13019,18061,18988
University of California-Berkeley,91,12864,Public,36198,17,69,60,16619,27,5080,27,4625,15,930,25,12123,58,9393,30,5839,29,4966,1,21431,16614,8506,9752,13944,21066,28596
University of California-Davis,81,13895,Public,33307,17,77,68,16410,37,4557,37,4556,0,2043,38,11911,67,7453,45,5574,44,5123,2,9937,15641,9573,10786,13956,21835,28976
University of California-Irvine,86,13149,Public,28895,19,77,71,17214,48,4875,48,4710,26,316,49,11827,65,6266,46,5357,46,4938,7,3161,11569,8096,9500,12970,20923,26800
University of California-Los Angeles,90,12697,Public,40795,16,62,54,17703,31,4811,31,4417,7,2013,30,11976,51,8791,34,6214,34,5706,1,17764,13686,8883,9579,13645,20789,27167
University of California-Riverside,66,12960,Public,21207,19,86,80,18714,56,4707,56,4516,3,3692,54,11170,76,8392,56,5101,56,4836,1,14371,11351,7651,8448,10949,18356,26614
University of California-San Diego,86,13271,Public,29517,19,62,54,15654,30,4599,30,4493,1,7740,30,12064,51,6535,41,5611,40,4804,9,4105,14329,8861,10054,13383,20777,26913
University of California-San Francisco,,,Public,3079,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of California-Santa Barbara,81,13746,Public,22225,17,70,63,18022,41,4597,41,4578,0,2008,41,11806,62,7391,47,6027,46,5444,2,17498,13991,9546,10895,13985,21943,29089
University of California-Santa Cruz,73,13397,Public,17203,18,80,72,19569,51,4656,51,4585,1,2891,51,11484,71,8287,62,5708,62,5438,1,16095,13748,9989,11280,14868,22432,30957
